00:01:26 |j| Slork
00:02:20 |l| Slork
00:07:42 |j|~Ransei
13:27:40 |c|+Flurbel|yeah
13:27:42 |c|+Flurbel|thats op
13:28:14 |c|$TimeZone|!Data revelation dance 
13:28:14 |c|~|/data-move Revelation Dance

13:28:19 |c|$TimeZone|Only stab it'll ever have tho
13:28:22 |c|$TimeZone|;/
13:28:30 |c|+Flurbel|judgement
13:28:36 |c|$TimeZone|No plate 
13:28:37 |c|+Flurbel|with ??? plate
13:28:42 |c|$TimeZone|Lol
13:28:50 |c|+Flurbel|fact
13:28:56 |c|$TimeZone|Indeed 
13:28:56 |c|+Flurbel|rotom-wash does work
13:29:01 |c|+Flurbel|with vapo
13:29:05 |c|+Flurbel|just no wilo
13:29:06 |c|$TimeZone|vice versa ?
13:29:27 |c|$TimeZone|you tried Rotom-W ->>>> vap I mean 
13:29:34 |c|+Flurbel|no
13:29:43 |c|$TimeZone|it'll have wisp then no?
13:30:15 |c|+Flurbel|now it can't learn wilo
13:30:21 |c|$TimeZone|lmfao
13:30:24 |c|+Flurbel|and volt swicth
13:30:28 |c|$TimeZone|o.o
13:30:41 |c|+Flurbel|so the stats of the fusion
13:30:49 |c|+Flurbel|and movesset of both
13:30:51 |c|$TimeZone|them glitches are at it again o;
13:30:52 |c|+Flurbel|except wilo
13:30:58 |c|+Flurbel|lol
13:31:42 |c|$TimeZone|!Fuse Toxapex, Rotom-Frost, Shiny
13:31:42 |html|<div class="infobox"><b>Stats</b>: 50/64/129/79/124/60<br /><b>BST</b>:506<br /><b>Type:</b> Poison/Ice<br /><b>Abilities</b>: Merciless/Limber/Regenerator + Levitate<br /><b>Weight</b>: 7.4 kg</div>
13:31:46 |c|$TimeZone|Lmao
13:31:51 |c|+Flurbel|lol
13:31:53 |c|$TimeZone|!Fuse Ice, Poison 
13:31:53 |html|<div class="message-error">Error: Pokemon not found</div>
13:31:56 |c|$TimeZone|I mean
13:32:02 |c|$TimeZone|!Weak ice, Poison 
13:32:02 |html|<div class="infobox">Ice/Poison:<br /><span class="message-effect-weak">Weaknesses</span>: Fire, Ground, Psychic, Rock, Steel<br /><span class="message-effect-resist">Resistances</span>: Bug, Fairy, Grass, Ice, Poison<br /><span class="message-effect-immune">Immunities</span>: <font color=#999999>None</font></div>
13:32:10 |c|+Flurbel|!fuse toxapex, rotom-wash, shiny
13:32:10 |html|<div class="infobox"><b>Stats</b>: 50/64/129/79/124/60<br /><b>BST</b>:506<br /><b>Type:</b> Poison/Water<br /><b>Abilities</b>: Merciless/Limber/Regenerator + Levitate<br /><b>Weight</b>: 7.4 kg</div>
13:32:21 |c|$TimeZone|ice is just terrible with everything defensively ;/
13:32:21 |c|+Flurbel|!fuse toxapex, rotom-wash
13:32:21 |html|<div class="infobox"><b>Stats</b>: 50/64/129/79/124/60<br /><b>BST</b>:506<br /><b>Type:</b> Poison/Electric<br /><b>Abilities</b>: Merciless/Limber/Regenerator + Levitate<br /><b>Weight</b>: 7.4 kg</div>
13:32:25 |c|+Flurbel|this could work
13:32:27 |c|$TimeZone|Except steel ofc
13:32:29 |j| ruuude boy
13:32:33 |c|+Flurbel|!weak poison, electric
13:32:33 |html|<div class="infobox">Poison/Electric:<br /><span class="message-effect-weak">Weaknesses</span>: <b>Ground</b>, Psychic<br /><span class="message-effect-resist">Resistances</span>: Bug, Electric, Fairy, Fighting, Flying, Grass, Poison, Steel<br /><span class="message-effect-immune">Immunities</span>: <font color=#999999>None</font></div>
13:32:38 |c|+Flurbel|only psychic
13:33:03 |c|$TimeZone|!Fuse Toxapex, Latias
13:33:03 |html|<div class="infobox"><b>Stats</b>: 65/71/121/81/136/72<br /><b>BST</b>:546<br /><b>Type:</b> Poison/Dragon<br /><b>Abilities</b>: Merciless/Limber/Regenerator + Levitate<br /><b>Weight</b>: 27.25 kg</div>
13:33:12 |c|$TimeZone|Blah
13:33:12 |c|+Flurbel|what about this
13:33:13 |c|+Flurbel|lol
13:33:45 |c|+Flurbel|!fuse mamoswine, lapras, shiny
13:33:45 |html|<div class="infobox"><b>Stats</b>: 120/107/80/77/77/70<br /><b>BST</b>:531<br /><b>Type:</b> Ice<br /><b>Abilities</b>: Oblivious/Snow Cloak/Thick Fat + Water Absorb<br /><b>Weight</b>: 255.5 kg</div>
13:33:45 |c|$TimeZone|!FUSE Toxapex, Zapdos, Shiny 
13:33:45 |html|<div class="infobox"><b>Stats</b>: 70/76/118/89/116/67<br /><b>BST</b>:536<br /><b>Type:</b> Poison/Flying<br /><b>Abilities</b>: Merciless/Limber/Regenerator + Pressure<br /><b>Weight</b>: 33.55 kg</div>
13:33:50 |c|$TimeZone|lmfao I'm done 
13:33:55 |l|+Flurbel
13:33:57 |c|$TimeZone|o.o dat mamo tho
13:33:58 |j|+Flurbel
13:34:08 |c|+Flurbel|and ddance
13:34:13 |c|+Flurbel|game froze
13:34:13 |l| ruuude boy
13:34:14 |c|+Flurbel|again
13:34:22 |c|$TimeZone|Lol
13:34:41 |c|+Flurbel|noo
13:34:56 |c|+Flurbel|why is mamo no primary ground
13:35:01 |c|+Flurbel|else would be kinda good
13:35:52 |c|+Flurbel|!fuse mienshao, garchomp
13:35:52 |html|<div class="infobox"><b>Stats</b>: 86/127/77/87/72/103<br /><b>BST</b>:552<br /><b>Type:</b> Fighting/Dragon<br /><b>Abilities</b>: Inner Focus/Regenerator/Reckless + Sand Veil<br /><b>Weight</b>: 65.25 kg</div>
13:36:22 |c|$TimeZone|o.o
13:36:26 |c|+Flurbel|this thing is amazing:
13:36:40 |c|#Snaquaza|!fuse Greninja, Roserade
13:36:40 |html|<div class="infobox"><b>Stats</b>: 66/82/66/114/88/106<br /><b>BST</b>:522<br /><b>Type:</b> Water/Grass<br /><b>Abilities</b>: Torrent/Protean/Battle Bond + Natural Cure<br /><b>Weight</b>: 27.25 kg</div>
13:36:42 |c|$TimeZone|!Fuse Garchomp, Excadrill
13:36:42 |html|<div class="infobox"><b>Stats</b>: 109/132/77/65/75/95<br /><b>BST</b>:553<br /><b>Type:</b> Dragon/Ground<br /><b>Abilities</b>: Sand Veil/Rough Skin + Sand Rush<br /><b>Weight</b>: 67.7 kg</div>
13:36:44 |c|$TimeZone|????
13:36:46 |c|+Flurbel|!fuse kommo-o, volcarona, shiny
13:36:46 |html|<div class="infobox"><b>Stats</b>: 80/85/95/117/105/92<br /><b>BST</b>:574<br /><b>Type:</b> Dragon/Fire<br /><b>Abilities</b>: Bulletproof/Soundproof/Overcoat + Flame Body<br /><b>Weight</b>: 62.1 kg</div>
13:36:47 |c|#Snaquaza|hm  won't work yet
13:36:52 |c|+Flurbel|dragon fire
13:36:56 |c|$TimeZone|Who?
13:36:59 |c|+Flurbel|with clanging scales
13:37:00 |c|#Snaquaza|I want Ash-Gren with Technician Water Shuriken :3
13:37:03 |c|+Flurbel|and qd
13:37:07 |c|+Flurbel|lol
13:37:07 |c|$TimeZone|oh
13:37:19 |c|+Flurbel|ash green with skill link ?
13:37:26 |c|$TimeZone|Eh
13:37:43 |c|$TimeZone|Not many special boosting  tech users
13:37:45 |c|$TimeZone|I mean 
13:37:47 |c|$TimeZone|Skill link
13:37:55 |c|+Flurbel|beat up
13:37:56 |c|+Flurbel|lol
13:37:58 |c|+Flurbel|nah
13:38:24 |c|+Flurbel|imagen scizor with dhelmise
13:38:27 |c|$TimeZone|!Fuse Latias, Arceus-Electric 
13:38:27 |html|<div class="infobox"><b>Stats</b>: 100/100/105/115/125/115<br /><b>BST</b>:660<br /><b>Type:</b> Dragon/Electric<br /><b>Abilities</b>: Levitate + Multitype<br /><b>Weight</b>: 180 kg</div>
13:38:32 |c|$TimeZone|I like this tho tbh
13:38:33 |c|+Flurbel|was no good comco
13:38:38 |c|+Flurbel|looks good
13:38:40 |c|$TimeZone|checks dark Zekrom 
13:38:45 |c|$TimeZone|darm*
13:38:47 |c|+Flurbel|bulky
13:39:08 |c|$TimeZone|!Weak Dragon, Electric 
13:39:08 |html|<div class="infobox">Dragon/Electric:<br /><span class="message-effect-weak">Weaknesses</span>: Dragon, Fairy, Ground, Ice<br /><span class="message-effect-resist">Resistances</span>: <b>Electric</b>, Fire, Flying, Grass, Steel, Water<br /><span class="message-effect-immune">Immunities</span>: <font color=#999999>None</font></div>
13:39:14 |c|+Flurbel|3 weak
13:39:55 |c|$TimeZone|Oh
13:40:13 |c|$TimeZone|!Fuse Volcanion, Rotom-Wash
13:40:13 |html|<div class="infobox"><b>Stats</b>: 65/87/113/117/98/78<br /><b>BST</b>:558<br /><b>Type:</b> Fire/Electric<br /><b>Abilities</b>: Water Absorb + Levitate<br /><b>Weight</b>: 97.65 kg</div>
13:40:24 |c|$TimeZone|!Weak fire, electric 
13:40:24 |html|<div class="infobox">Fire/Electric:<br /><span class="message-effect-weak">Weaknesses</span>: <b>Ground</b>, Rock, Water<br /><span class="message-effect-resist">Resistances</span>: Bug, Electric, Fairy, Fire, Flying, Grass, Ice, <b>Steel</b><br /><span class="message-effect-immune">Immunities</span>: <font color=#999999>None</font></div>
13:40:25 |c|+Flurbel|oh
13:40:27 |c|$TimeZone|;p
13:40:28 |c|+Flurbel|only rock
13:40:36 |c|+Flurbel|but don't forget lord lunatone
13:40:41 |c|+Flurbel|with volcanion
13:40:43 |c|$TimeZone|Rof
13:40:50 |c|$TimeZone|yea
13:41:23 |c|$TimeZone|8 resistance 2 immunities and 1 weakness. P dank 
13:41:50 |c|$TimeZone|!fuse lunatone, Volcanion 
13:41:50 |html|<div class="infobox"><b>Stats</b>: 85/82/92/112/87/70<br /><b>BST</b>:528<br /><b>Type:</b> Rock/Fire<br /><b>Abilities</b>: Levitate + Water Absorb<br /><b>Weight</b>: 181.5 kg</div>
13:42:00 |c|+Flurbel|!fuse solrock, volcanion
13:42:00 |html|<div class="infobox"><b>Stats</b>: 85/102/102/92/77/70<br /><b>BST</b>:528<br /><b>Type:</b> Rock/Fire<br /><b>Abilities</b>: Levitate + Water Absorb<br /><b>Weight</b>: 174.5 kg</div>
13:42:07 |c|+Flurbel|only if dolrock could get power gem
13:42:14 |c|$TimeZone|That's two 4x weaknesses gone
13:42:17 |c|$TimeZone|lmao
13:42:21 |c|+Flurbel|yeah
13:42:41 |c|$TimeZone|Rhyperior wants that badly ;)
13:42:51 |c|+Flurbel|give it to him
13:43:06 |c|+Flurbel|!fuse stratagem, volcanion
13:43:06 |html|<div class="infobox"><b>Stats</b>: 85/85/92/125/80/100<br /><b>BST</b>:567<br /><b>Type:</b> Rock/Fire<br /><b>Abilities</b>: Levitate/Technician + Water Absorb<br /><b>Weight</b>: 120 kg</div>
13:43:07 |c|+Flurbel|lol
13:43:14 |c|$TimeZone|Omo
13:43:32 |c|$TimeZone|that's cap oh
13:43:50 |c|+Flurbel|ssht
13:43:54 |c|+Flurbel|don't tell the bot
13:45:33 |c|+Flurbel|!fuse amoonguss, azumarill
13:45:33 |html|<div class="infobox"><b>Stats</b>: 107/67/75/72/80/40<br /><b>BST</b>:441<br /><b>Type:</b> Grass/Water<br /><b>Abilities</b>: Effect Spore/Regenerator + Thick Fat<br /><b>Weight</b>: 19.5 kg</div>
13:45:41 |c|+Flurbel|!fuse amoonguss, azumarill, shiny
13:45:41 |html|<div class="infobox"><b>Stats</b>: 107/67/75/72/80/40<br /><b>BST</b>:441<br /><b>Type:</b> Grass/Fairy<br /><b>Abilities</b>: Effect Spore/Regenerator + Thick Fat<br /><b>Weight</b>: 19.5 kg</div>
13:45:49 |c|+Flurbel|this could work 2
13:45:54 |c|+Flurbel|nice thick fat
13:46:08 |c|+Flurbel|!weak grass, fairy
13:46:08 |html|<div class="infobox">Grass/Fairy:<br /><span class="message-effect-weak">Weaknesses</span>: Fire, Flying, Ice, <b>Poison</b>, Steel<br /><span class="message-effect-resist">Resistances</span>: Dark, Electric, Fighting, Grass, Ground, Water<br /><span class="message-effect-immune">Immunities</span>: Dragon</div>
13:46:17 |c|+Flurbel|only flying and poison and steel
13:46:19 |c|+Flurbel|lol
13:46:20 |c|#Snaquaza|!weak grass water
13:46:20 |html|<div class="infobox">Grass/Water:<br /><span class="message-effect-weak">Weaknesses</span>: Bug, Flying, Poison<br /><span class="message-effect-resist">Resistances</span>: Ground, Steel, <b>Water</b><br /><span class="message-effect-immune">Immunities</span>: <font color=#999999>None</font></div>
13:46:55 |c|#Snaquaza|probably decent as well
13:47:33 |c|+Flurbel|yeah
13:47:55 |c|#Snaquaza|also I saw you were doing things with doubly immune fire/rock types?
13:48:00 |c|#Snaquaza|!fuse Cradily, Rotom-Heat, Shiny
13:48:00 |html|<div class="infobox"><b>Stats</b>: 68/73/102/93/107/64<br /><b>BST</b>:507<br /><b>Type:</b> Rock/Fire<br /><b>Abilities</b>: Suction Cups/Storm Drain + Levitate<br /><b>Weight</b>: 30.349999999999998 kg</div>
13:48:01 |c|+Flurbel|yeah
13:48:05 |c|+Flurbel|ooh
13:48:18 |c|#Snaquaza|!learn cradily, recover
13:48:18 |html|<div class="infobox">In Gen 7, Cradily <span class="message-learn-canlearn">can</span> learn Recover only when obtained from:<ul class="message-learn-list"><li>gen 3 egg: corsola<li>gen 4 egg: corsola<li>gen 5 egg: corsola<li>gen 5 event: 0 lileep<li>gen 6 egg<li>gen 7 egg</ul></div>
13:48:19 |c|+Flurbel|laks nice
13:48:30 |c|#Snaquaza|only weak to Rock and Fighting nice
13:48:36 |c|+Flurbel|but rotom forms are glitched tho
13:48:45 |c|+Flurbel|so you get only the stats 
13:48:50 |c|#Snaquaza|and Overheat
13:48:51 |c|+Flurbel|not the moves
13:49:05 |c|+Flurbel|no wilo wisp
13:49:18 |c|+Flurbel|but looks good
13:50:40 |l|$TimeZone
13:51:52 |c|#Snaquaza|I hope it gets fixed soon
13:52:01 |c|#Snaquaza|tbh I kind of hope they find out how to do a client
13:52:11 |c|#Snaquaza|so we can select types (so we can get 2 secondary types) and same for abilities
13:52:17 |j|$TimeZone
13:52:20 |c|+Flurbel|yeah
13:52:33 |c|+Flurbel|love to get scizor with dhelmise
13:52:34 |c|+Flurbel|finally
13:53:35 |c|$TimeZone|^^
13:53:38 |c|#Snaquaza|hm
13:53:58 |c|#Snaquaza|!fuse Dhelmise, Jirachi
13:53:58 |html|<div class="infobox"><b>Stats</b>: 85/115/100/93/95/70<br /><b>BST</b>:558<br /><b>Type:</b> Ghost/Steel<br /><b>Abilities</b>: Steelworker + Serene Grace<br /><b>Weight</b>: 105.55 kg</div>
13:54:12 |c|#Snaquaza|choose between stronk Iron Head, or stronker Doom Desire
13:54:12 |c|$TimeZone|tech +Steel worker ;)
13:54:12 |j|%Zygardeorder
13:54:13 |c|+Flurbel|!fuse scizor-mega, dhelmise
13:54:13 |html|<div class="infobox"><b>Stats</b>: 70/140/120/75/95/57<br /><b>BST</b>:557<br /><b>Type:</b> Bug/Ghost<br /><b>Abilities</b>: Technician + Steelworker<br /><b>Weight</b>: 167.5 kg</div>
13:54:20 |c|+Flurbel|these bullet puchnes
13:54:23 |c|+Flurbel|ooh
13:54:24 |c|$TimeZone|oh doom desires 
13:54:26 |c|$TimeZone|lmao
13:54:33 |c|+Flurbel|but jirachi is power 2
13:54:42 |c|#Snaquaza|!fuse Florges, Venusaur
13:54:42 |html|<div class="infobox"><b>Stats</b>: 79/73/75/106/127/77<br /><b>BST</b>:537<br /><b>Type:</b> Fairy/Grass<br /><b>Abilities</b>: Flower Veil/Symbiosis + Overgrow<br /><b>Weight</b>: 55 kg</div>
13:54:45 |c|#Snaquaza|and then mega?
13:54:51 |c|$TimeZone|o.o 
13:54:56 |c|#Snaquaza|immune to status, stat drops
13:54:56 |c|+Flurbel|!bnb florges
13:54:56 |html|<div class="infobox">Florges in Bad 'n Boosted: <br /> 78/130/136/112/154/75</div>
13:55:00 |c|#Snaquaza|weak to Flying, Poison and Steel
13:55:16 |c|$TimeZone|!Fuse Volcanion, Rotom-Wash
13:55:16 |html|<div class="infobox"><b>Stats</b>: 65/87/113/117/98/78<br /><b>BST</b>:558<br /><b>Type:</b> Fire/Electric<br /><b>Abilities</b>: Water Absorb + Levitate<br /><b>Weight</b>: 97.65 kg</div>
13:55:37 |c|#Snaquaza|shoul get 79/91/115/128/147/77 stats
13:55:39 |c|+Flurbel|!fuse venusaur-mega, azumarill, shiny
13:55:39 |html|<div class="infobox"><b>Stats</b>: 90/75/101/91/100/65<br /><b>BST</b>:522<br /><b>Type:</b> Grass/Fairy<br /><b>Abilities</b>: Thick Fat + Thick Fat<br /><b>Weight</b>: 92 kg</div>
13:55:40 |c|$TimeZone|SR weak only issues with all fire types 
13:55:47 |c|#Snaquaza|but its immune to status and neutral to fire and ice
13:55:52 |c|$TimeZone|yea
13:55:58 |c|#Snaquaza|Flurbel, why'd you want double thick fat
13:56:04 |c|+Flurbel|lol
13:56:05 |c|#Snaquaza|when Florges gives you status immunity
13:56:13 |c|$TimeZone|O.o
13:56:14 |c|+Flurbel|belly drum?
13:56:15 |c|$TimeZone|How?
13:56:20 |c|#Snaquaza|!dt flowerguard
13:56:20 |html|<div class="message-error">No Pokémon, item, move, ability or nature named &apos;flowerguard&apos; was found. (Check your spelling?)</div>
13:56:25 |c|#Snaquaza|!dt flowerveil
13:56:25 |c|~|/data-ability Flower Veil
|raw|<font size="1"></font>
13:56:26 |c|$TimeZone|Guard?
13:56:32 |c|$TimeZone|ooh
13:56:35 |c|+Flurbel|!fuse dusknoir, blissey
13:56:35 |html|<div class="infobox"><b>Stats</b>: 150/55/72/70/135/50<br /><b>BST</b>:532<br /><b>Type:</b> Ghost/Normal<br /><b>Abilities</b>: Pressure/Frisk + Natural Cure<br /><b>Weight</b>: 76.69999999999999 kg</div>
13:56:37 |c|#Snaquaza|normally it does nothing outside of doubles
13:56:38 |c|+Flurbel|welp
13:56:40 |c|$TimeZone|"grass's types"
13:56:41 |c|#Snaquaza|bc Florges isn't a Grass type...
13:56:42 |c|$TimeZone|Lmao
13:56:48 |c|#Snaquaza|!fuse Volcanion, Hippowdon
13:56:48 |html|<div class="infobox"><b>Stats</b>: 94/111/119/99/81/58<br /><b>BST</b>:562<br /><b>Type:</b> Fire/Ground<br /><b>Abilities</b>: Water Absorb + Sand Stream<br /><b>Weight</b>: 247.5 kg</div>
13:56:56 |c|#Snaquaza|if you're afraid of being weak to Rock btw
13:57:02 |c|$TimeZone|Florges got screwed 
13:57:06 |c|$TimeZone|;(
13:57:07 |c|#Snaquaza|or even with Claydol if you dont like weaknesses (but dont want recovery...)
13:57:09 |c|#Snaquaza|yeah
13:57:11 |c|+Flurbel|no snaq
13:57:14 |c|#Snaquaza|altho its BST is really high
13:57:31 |c|+Flurbel|!fuse claydol, volcanion
13:57:31 |html|<div class="infobox"><b>Stats</b>: 70/90/112/100/105/72<br /><b>BST</b>:549<br /><b>Type:</b> Ground/Fire<br /><b>Abilities</b>: Levitate + Water Absorb<br /><b>Weight</b>: 151.5 kg</div>
13:57:36 |c|$TimeZone|Lmao
13:57:39 |c|+Flurbel|also levitate
13:57:41 |c|#Snaquaza|yeah so that doesn't have weaknesses
13:57:42 |c|#Snaquaza|as I said
13:57:45 |c|+Flurbel|oh
13:57:47 |c|+Flurbel|srry
13:57:49 |c|#Snaquaza|but it doesn't get recovery so its less good imo
13:57:54 |c|+Flurbel|didn't saw it
13:57:57 |c|$TimeZone|^
13:57:57 |c|+Flurbel|rest
13:57:59 |c|+Flurbel|;)
13:58:01 |c|$TimeZone|Lol
13:58:03 |c|#Snaquaza|though some teams may appreciate it
13:58:04 |c|#Snaquaza|idk
13:58:12 |c|+Flurbel|with a good wisher
13:58:14 |c|+Flurbel|maybe
13:58:14 |c|#Snaquaza|honestly I think weather in FF is a little limiting
13:58:15 |c|$TimeZone|it's a spinner I guess...
13:58:27 |c|$TimeZone|Not on regular play o;
13:58:33 |c|$TimeZone|In*
13:58:40 |c|$TimeZone|None-ubers
13:58:43 |c|#Snaquaza|setting + speed boosting ability is just hard for offense to deal with
13:59:17 |c|$TimeZone|rain is probably the best if not sand imo lol
13:59:20 |c|#Snaquaza|I feel like I have to throw a random weather mon on each team just to deal with weather mons
13:59:26 |c|+Flurbel|what about snow
13:59:26 |c|#Snaquaza|sun is good too
13:59:27 |c|$TimeZone|Araquanid is to be feared o;
13:59:37 |c|#Snaquaza|uh
13:59:37 |c|+Flurbel|snow is so bad
13:59:40 |c|#Snaquaza|I dont mean a rain team
13:59:43 |c|+Flurbel|snow is just a bad sand
13:59:52 |c|#Snaquaza|just mons with Swift Swim + Drizzle
13:59:58 |c|#Snaquaza|Snow is viable now honestly
14:00:00 |c|$TimeZone|oh
14:00:04 |c|#Snaquaza|Abomasnow + Beartic isn't bad
14:00:16 |c|#Snaquaza|but I've only used it to make sure all other weathers get reset, but it can sweep decently
14:00:17 |c|$TimeZone|eh lol
14:00:19 |c|#Snaquaza|sun is p good too
14:00:27 |c|+Flurbel|!fuse shiinotic, celesteela
14:00:27 |html|<div class="infobox"><b>Stats</b>: 78/73/91/98/100/45<br /><b>BST</b>:485<br /><b>Type:</b> Grass/Steel<br /><b>Abilities</b>: Illuminate/Effect Spore/Rain Dish + Beast Boost<br /><b>Weight</b>: 505.7 kg</div>
14:00:32 |c|+Flurbel|ik like this in rain
14:00:32 |c|#Snaquaza|!fuse Charizard-Mega-Y, Tangrowth
14:00:32 |html|<div class="infobox"><b>Stats</b>: 89/102/101/134/82/75<br /><b>BST</b>:583<br /><b>Type:</b> Fire/Grass<br /><b>Abilities</b>: Drought + Chlorophyll<br /><b>Weight</b>: 114.55 kg</div>
14:00:36 |c|+Flurbel|nice rain dish
14:00:41 |c|#Snaquaza|have fun dealing with that on offense
14:00:57 |c|+Flurbel|power
14:01:16 |c|#Snaquaza|probably harder than rain mons 'cause its stronger (altho rain is v powerful still)
14:01:23 |c|+Flurbel|!fuse charizard-mega-y, exeguttor
14:01:23 |html|<div class="message-error">Error: Pokemon not found</div>
14:01:24 |c|#Snaquaza|and excatar is about as strong as chary
14:01:32 |c|#Snaquaza|!dt Tangrowth
14:01:32 |c|~|/data-pokemon Tangrowth
|raw|<font size="1"><font color="#686868">Dex#:</font> 465&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 4&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 2 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 128.6 kg <em>(100 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Blue&nbsp;|&ThickSpace;<font color="#686868">Egg Group(s):</font> Grass&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
14:01:34 |c|#Snaquaza|!dt Exeggutor
14:01:34 |c|~|/data-pokemon Exeggutor
|raw|<font size="1"><font color="#686868">Dex#:</font> 103&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 1&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 2 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 120 kg <em>(100 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Yellow&nbsp;|&ThickSpace;<font color="#686868">Egg Group(s):</font> Grass&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
14:01:39 |c|+Flurbel|15 points
14:01:43 |c|#Snaquaza|Yeah so 7
14:01:44 |c|+Flurbel|not that much
14:01:50 |c|#Snaquaza|It'd good as well honestly
14:01:56 |c|$TimeZone|Eh
14:01:58 |c|#Snaquaza|I just took a random example but both are good
14:02:01 |c|+Flurbel|and little biut more speed
14:02:05 |c|$TimeZone|I like using fire types with growth tbh
14:02:11 |c|#Snaquaza|you can use Growth
14:02:20 |c|#Snaquaza|although just killing stuff is good as well
14:02:22 |c|$TimeZone|Also I thought megas couldn't have secondary abilities 
14:02:28 |c|$TimeZone|Unless you switch out o.o
14:02:36 |c|$TimeZone|and come back in lol
14:03:30 |c|$TimeZone|!BNB Bellsprout 
14:03:30 |html|<div class="infobox">Bellsprout in Bad 'n Boosted: <br /> 100/75/70/140/60/80</div>
14:03:35 |c|$TimeZone|I was thinking of BNB 
14:03:38 |c|$TimeZone|Not fuse
14:03:44 |c|$TimeZone|That's makes weather deadly 
14:03:51 |c|+Flurbel|!fuse beartic, obomasnow
14:03:51 |html|<div class="message-error">Error: Pokemon not found</div>
14:03:58 |c|$TimeZone|so many viable shit now
14:04:07 |c|+Flurbel|!fuse beartic, abomasnow
14:04:07 |html|<div class="infobox"><b>Stats</b>: 92/111/77/81/82/55<br /><b>BST</b>:498<br /><b>Type:</b> Ice/Grass<br /><b>Abilities</b>: Snow Cloak/Slush Rush/Swift Swim + Snow Warning<br /><b>Weight</b>: 197.75 kg</div>
14:04:09 |c|+Flurbel|this 
14:04:11 |c|+Flurbel|with sd
14:04:15 |c|+Flurbel|alternative
14:04:19 |c|$TimeZone|After that Bellsprout uses growth =GG lol
14:04:26 |c|$TimeZone|unless opposing weather 
14:05:34 |c|+Flurbel|!fuse breloom, scizor, shiny
14:05:34 |html|<div class="infobox"><b>Stats</b>: 65/130/90/57/70/67<br /><b>BST</b>:479<br /><b>Type:</b> Grass/Steel<br /><b>Abilities</b>: Effect Spore/Poison Heal/Technician + Swarm<br /><b>Weight</b>: 78.6 kg</div>
14:06:46 |c|$TimeZone|!Fuse Scizor, Heatran, Shiny 
14:06:46 |html|<div class="infobox"><b>Stats</b>: 80/110/103/92/93/71<br /><b>BST</b>:549<br /><b>Type:</b> Bug/Steel<br /><b>Abilities</b>: Swarm/Technician/Light Metal + Flash Fire<br /><b>Weight</b>: 274 kg</div>
14:06:57 |c|$TimeZone|Lol
14:07:07 |c|$TimeZone|was curious ;/
14:07:15 |c|+Flurbel|with mega looks kinda good
14:07:19 |c|+Flurbel|this also
14:07:30 |c|#Snaquaza|!fuse Dhelmise, Heatran, shiny
14:07:30 |html|<div class="infobox"><b>Stats</b>: 80/110/103/108/98/58<br /><b>BST</b>:557<br /><b>Type:</b> Ghost/Steel<br /><b>Abilities</b>: Steelworker + Flash Fire<br /><b>Weight</b>: 320 kg</div>
14:07:31 |c|#Snaquaza|tbh
14:07:36 |c|#Snaquaza|fuse all steel types with Dhelmise
14:07:40 |c|$TimeZone|^
14:07:47 |c|#Snaquaza|Switch in on Fire types -> Rock Polish -> Sweep
14:07:47 |c|+Flurbel|but 1 is the best
14:07:54 |c|+Flurbel|metagross-mega
14:07:56 |c|+Flurbel|kuch 
14:07:57 |c|+Flurbel|kuch
14:08:11 |c|$TimeZone|I like klinklang too ;)
14:08:16 |c|+Flurbel|yeah
14:08:19 |c|#Snaquaza|Klinklang is great too
14:08:21 |c|$TimeZone|Shift gear boi 
14:08:25 |c|#Snaquaza|I use Anchor Shot > Gear Grind tho
14:08:29 |c|$TimeZone|^
14:08:30 |c|#Snaquaza|so much more reliable
14:08:31 |c|+Flurbel|what about kling Klang with scizor
14:08:32 |c|$TimeZone|Gear miss*
14:08:34 |c|#Snaquaza|and sometimes you trap some wall that can't hurt you
14:08:36 |c|#Snaquaza|and its like GG
14:09:05 |c|$TimeZone|dunno why gear miss is even below 90%
14:09:17 |c|+Flurbel|!fuse scizor, marowak
14:09:17 |html|<div class="infobox"><b>Stats</b>: 65/105/105/52/80/55<br /><b>BST</b>:462<br /><b>Type:</b> Bug/Ground<br /><b>Abilities</b>: Swarm/Technician/Light Metal + Rock Head<br /><b>Weight</b>: 81.5 kg</div>
14:09:23 |c|+Flurbel|these bonemarangs
14:09:27 |c|+Flurbel|150 bp
14:09:41 |c|$TimeZone|ouch lol
14:09:50 |c|+Flurbel|else its shit
14:09:53 |c|$TimeZone|But uh dat typing tho
14:10:00 |c|+Flurbel|nincade
14:10:03 |c|+Flurbel|lol
14:10:10 |c|$TimeZone|Who ?
14:10:15 |c|+Flurbel|make it banded
14:10:22 |c|#Snaquaza|!fuse Breloom, Pangoro
