00:01:43 |j| malphasmarx
14:42:00 |c|%EchoGaia|!dt Ultimate Power of The Skies, Jillian
14:42:00 |raw|<ul class="utilichart"><li class="result"><a data-entry="move|Ultimate Power of the Skies"><span class="col movenamecol">Ultimate Power of the Skies</span> <span class="col typecol"><img src="//play.pokemonshowdown.com/sprites/types/Flying.png" alt="Flying" width="32" height="14"><img src="//play.pokemonshowdown.com/sprites/categories/Status.png" alt="Status" width="32" height="14"></span> <span class="col widelabelcol"><em>Accuracy</em><br>—</span> <span class="col pplabelcol"><em>PP</em><br>1</span> <span class="col movedesccol">Raises the user's stats by 3 stages each</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Priority:</font> 0&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 0&nbsp;|&ThickSpace;&#10003; Z-Move&nbsp;|&ThickSpace;<font color="#686868">Z-Crystal:</font> Rayquazanium Z&nbsp;|&ThickSpace;<font color="#686868">User:</font> Rayquaza&nbsp;|&ThickSpace;<font color="#686868">Required Move:</font> Dragon Ascent&nbsp;|&ThickSpace;<font color="#686868">Target:</font> User</font>
14:42:07 |raw|<div class='chat'><small>%</small><button name='parseCommand' value='/user Winona' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#8CA924'>Winona:</font></b></button><em class='mine'><img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/xaa.png" title="xaa" width="50" height="50" /></em></div>
14:42:11 |raw|<div class='chat'><small>%</small><button name='parseCommand' value='/user Flurbel' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#4A7826'>Flurbel:</font></b></button><em class='mine'><img src="http://www.geekinsider.com/wp-content/uploads/2013/10/tumblr_mvblw72CTf1sal1obo1_400.gif" title="oshat" width="50" height="50" /></em></div>
14:42:38 |c|%Winona|This should be banned of Jillian AG
14:42:45 |c|%EchoGaia|xD
14:42:50 |c|%EchoGaia|nothing can be banned from AG
14:43:03 |c|%Winona|This thing could o_o
14:43:17 |c|%Flurbel|deoxy's z-move is op 2
14:43:22 |c|%Winona|? :3
14:43:35 |c|%Flurbel|uhm
14:43:39 |c|%Flurbel|dont know the name
14:43:41 |c|%Flurbel|but power
14:43:43 |c|%EchoGaia|!dt Ultimate Mind Control, Jillian
14:43:43 |raw|<ul class="utilichart"><li class="result"><a data-entry="move|Ultimate Mind Control"><span class="col movenamecol">Ultimate Mind Control</span> <span class="col typecol"><img src="//play.pokemonshowdown.com/sprites/types/Psychic.png" alt="Psychic" width="32" height="14"><img src="//play.pokemonshowdown.com/sprites/categories/Special.png" alt="Special" width="32" height="14"></span> <span class="col labelcol"><em>Power</em><br>200</span> <span class="col widelabelcol"><em>Accuracy</em><br>—</span> <span class="col pplabelcol"><em>PP</em><br>2</span> <span class="col movedesccol">No additional effect, can be used twice</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Priority:</font> 0&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 0&nbsp;|&ThickSpace;&#10003; Bypasses Protect&nbsp;|&ThickSpace;&#10003; Z-Move&nbsp;|&ThickSpace;<font color="#686868">Z-Crystal:</font> Deoxyium Z&nbsp;|&ThickSpace;<font color="#686868">User:</font> Deoxys&nbsp;|&ThickSpace;<font color="#686868">Required Move:</font> Psycho Boost&nbsp;|&ThickSpace;<font color="#686868">Target:</font> One Adjacent Pokémon</font>
14:43:45 |c|%Flurbel|many power
14:43:56 |c| charizard8888|Hey Winona
14:43:57 |c|%Winona|Twice in the same turn ?
14:44:00 |c|%EchoGaia|no
14:44:00 |c|%Winona|Hi Charizard
14:44:01 |c|%Flurbel|twice
14:44:02 |c|%EchoGaia|twice
14:44:06 |c|%Flurbel|like a normal move
14:44:08 |c|%EchoGaia|yes
14:44:08 |c|%Flurbel|2 pp
14:44:10 |c|%Winona|Still awesome
14:44:42 |c|%EchoGaia|!dt Ultimate Madness, Jillian
14:44:42 |raw|<ul class="utilichart"><li class="result"><a data-entry="move|Ultimate Madness"><span class="col movenamecol">Ultimate Madness</span> <span class="col typecol"><img src="//play.pokemonshowdown.com/sprites/types/Dark.png" alt="Dark" width="32" height="14"><img src="//play.pokemonshowdown.com/sprites/categories/Special.png" alt="Special" width="32" height="14"></span> <span class="col labelcol"><em>Power</em><br>160</span> <span class="col widelabelcol"><em>Accuracy</em><br>—</span> <span class="col pplabelcol"><em>PP</em><br>1</span> <span class="col movedesccol">Steals the target's stat boosts before dealing damage</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Priority:</font> 0&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 0&nbsp;|&ThickSpace;&#10003; Bypasses Protect&nbsp;|&ThickSpace;&#10003; Z-Move&nbsp;|&ThickSpace;<font color="#686868">Z-Crystal:</font> Umbreonium Z&nbsp;|&ThickSpace;<font color="#686868">User:</font> Umbreon&nbsp;|&ThickSpace;<font color="#686868">Required Move:</font> Foul Play&nbsp;|&ThickSpace;<font color="#686868">Target:</font> One Adjacent Pokémon</font>
14:45:10 |c|%EchoGaia|it's a z spectral thief Xd
14:45:17 |c|%Winona|^
14:45:22 |c| charizard8888|Oh boi
14:45:40 |c| charizard8888|Released date? 20th June?
14:45:50 |c|%EchoGaia|for marshadow?
14:45:59 |c| charizard8888|Yeah
14:46:02 |c| charizard8888|And teh movie
14:46:02 |c|%EchoGaia|nice
14:47:18 |c|%EchoGaia|!dt Rage of the superior Dragon, Jillian
14:47:18 |raw|<ul class="utilichart"><li class="result"><a data-entry="move|Rage of the Superior Dragon"><span class="col movenamecol">Rage of the Superior Dragon</span> <span class="col typecol"><img src="//play.pokemonshowdown.com/sprites/types/Dragon.png" alt="Dragon" width="32" height="14"><img src="//play.pokemonshowdown.com/sprites/categories/Physical.png" alt="Physical" width="32" height="14"></span> <span class="col labelcol"><em>Power</em><br>190</span> <span class="col widelabelcol"><em>Accuracy</em><br>—</span> <span class="col pplabelcol"><em>PP</em><br>1</span> <span class="col movedesccol">Hits Fairy types super effectively</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Priority:</font> 0&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 0&nbsp;|&ThickSpace;&#10003; Bypasses Protect&nbsp;|&ThickSpace;&#10003; Z-Move&nbsp;|&ThickSpace;<font color="#686868">Z-Crystal:</font> Quetzaleonium Z&nbsp;|&ThickSpace;<font color="#686868">User:</font> Quetzaleon&nbsp;|&ThickSpace;<font color="#686868">Required Move:</font> Outrage&nbsp;|&ThickSpace;<font color="#686868">Target:</font> One Adjacent Pokémon</font>
14:47:23 |c|%EchoGaia|who is gonna like this
14:47:53 |c| charizard8888|:D
14:47:57 |c| charizard8888|Beast move ever!
14:47:59 |c| charizard8888|:D
14:48:01 |c|%Flurbel|lol
14:48:05 |l| colorcodedd
14:48:08 |c| charizard8888|Move of the decade :D
14:48:13 |c|%EchoGaia|:D
14:48:13 |c| charizard8888|Move of the century :D
14:48:19 |c| charizard8888|Move of the millinea :D
14:48:30 |c| charizard8888|:D
14:48:31 |c| charizard8888|:D
14:49:02 |c| charizard8888|!dt Quetzaloenium Z, Jillian
14:49:02 No Pokémon, item, move, ability or nature named 'Quetzaloenium Z' was found. Showing the data of 'Quetzaleonium Z' instead.
|raw|<ul class="utilichart"><li class="result"><a data-entry="item|Quetzaleonium Z"><span class="col itemiconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/itemicons-sheet.png) no-repeat scroll -120px -960px"></span></span> <span class="col namecol">Quetzaleonium Z</span> <span class="col itemdesccol">If holder is a Quetzaleon with Outrage, it can use Rage of The Superior Dragon.</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Gen:</font> 7&nbsp;|&ThickSpace;<font color="#686868">Fling:</font> This item cannot be used with Fling.</font>
14:49:39 |c|%EchoGaia|yeah all z crystals are coded too
14:50:56 |c|%EchoGaia|!dt Sentence of The walking dead, Jillian
14:50:56 |raw|<ul class="utilichart"><li class="result"><a data-entry="move|Sentence of the Walking Dead"><span class="col movenamecol">Sentence of the Walking Dead</span> <span class="col typecol"><img src="//play.pokemonshowdown.com/sprites/types/Ghost.png" alt="Ghost" width="32" height="14"><img src="//play.pokemonshowdown.com/sprites/categories/Special.png" alt="Special" width="32" height="14"></span> <span class="col labelcol"><em>Power</em><br>160</span> <span class="col widelabelcol"><em>Accuracy</em><br>—</span> <span class="col pplabelcol"><em>PP</em><br>1</span> <span class="col movedesccol">100% chance to sleep the foe</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Priority:</font> 0&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 0&nbsp;|&ThickSpace;&#10003; Secondary effect&nbsp;|&ThickSpace;&#10003; Bypasses Protect&nbsp;|&ThickSpace;&#10003; Z-Move&nbsp;|&ThickSpace;<font color="#686868">Z-Crystal:</font> Tombeonium Z&nbsp;|&ThickSpace;<font color="#686868">User:</font> Tombeon&nbsp;|&ThickSpace;<font color="#686868">Required Move:</font> Hex&nbsp;|&ThickSpace;<font color="#686868">Target:</font> One Adjacent Pokémon</font>
14:51:07 |c|%Flurbel|tho
14:51:07 |c|%EchoGaia|a damaging spore hehe
14:51:14 |c|%Flurbel|glaceons is even more op
14:51:33 |c|%EchoGaia|!dt Icy Wind of the Far North, Jillian
14:51:33 |raw|<ul class="utilichart"><li class="result"><a data-entry="move|Icy Wind of The Far North"><span class="col movenamecol">Icy Wind of The Far North</span> <span class="col typecol"><img src="//play.pokemonshowdown.com/sprites/types/Ice.png" alt="Ice" width="32" height="14"><img src="//play.pokemonshowdown.com/sprites/categories/Special.png" alt="Special" width="32" height="14"></span> <span class="col labelcol"><em>Power</em><br>160</span> <span class="col widelabelcol"><em>Accuracy</em><br>—</span> <span class="col pplabelcol"><em>PP</em><br>1</span> <span class="col movedesccol">100% chance to freeze the foe</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Priority:</font> 0&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 0&nbsp;|&ThickSpace;&#10003; Secondary effect&nbsp;|&ThickSpace;&#10003; Bypasses Protect&nbsp;|&ThickSpace;&#10003; Z-Move&nbsp;|&ThickSpace;<font color="#686868">Z-Crystal:</font> Glaceonium Z&nbsp;|&ThickSpace;<font color="#686868">User:</font> Glaceon&nbsp;|&ThickSpace;<font color="#686868">Required Move:</font> Blizzard&nbsp;|&ThickSpace;<font color="#686868">Target:</font> One Adjacent Pokémon</font>
14:51:36 |c|%EchoGaia|oh yeah
14:51:53 |c|%EchoGaia|but it's Glaceon
14:51:55 |c|%EchoGaia|:p
14:52:03 |c|%Flurbel|glaceon is god
14:53:26 |c|%EchoGaia|!dt Extreme Pummeling, Jillian
14:53:26 |raw|<ul class="utilichart"><li class="result"><a data-entry="move|Extreme Pummeling"><span class="col movenamecol">Extreme Pummeling</span> <span class="col typecol"><img src="//play.pokemonshowdown.com/sprites/types/Fighting.png" alt="Fighting" width="32" height="14"><img src="//play.pokemonshowdown.com/sprites/categories/Physical.png" alt="Physical" width="32" height="14"></span> <span class="col labelcol"><em>Power</em><br>200</span> <span class="col widelabelcol"><em>Accuracy</em><br>—</span> <span class="col pplabelcol"><em>PP</em><br>1</span> <span class="col movedesccol">Ignores the foe stats boost when dealing damage</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Priority:</font> 0&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 0&nbsp;|&ThickSpace;&#10003; Contact&nbsp;|&ThickSpace;&#10003; Bypasses Protect&nbsp;|&ThickSpace;&#10003; Z-Move&nbsp;|&ThickSpace;<font color="#686868">Z-Crystal:</font> Puncheonium Z&nbsp;|&ThickSpace;<font color="#686868">User:</font> Puncheon&nbsp;|&ThickSpace;<font color="#686868">Required Move:</font> Megaton Punch&nbsp;|&ThickSpace;<font color="#686868">Target:</font> One Adjacent Pokémon</font>
14:54:23 |c|%EchoGaia|!dt Mental's Evilness Crusher, Jillian
14:54:23 |raw|<ul class="utilichart"><li class="result"><a data-entry="move|Mental's Evilness Crusher"><span class="col movenamecol">Mental's Evilness Crusher</span> <span class="col typecol"><img src="//play.pokemonshowdown.com/sprites/types/Psychic.png" alt="Psychic" width="32" height="14"><img src="//play.pokemonshowdown.com/sprites/categories/Special.png" alt="Special" width="32" height="14"></span> <span class="col labelcol"><em>Power</em><br>180</span> <span class="col widelabelcol"><em>Accuracy</em><br>—</span> <span class="col pplabelcol"><em>PP</em><br>1</span> <span class="col movedesccol">This move is super effective against Dark</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Priority:</font> 0&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 0&nbsp;|&ThickSpace;&#10003; Bypasses Protect&nbsp;|&ThickSpace;&#10003; Z-Move&nbsp;|&ThickSpace;<font color="#686868">Z-Crystal:</font> Espeonium Z&nbsp;|&ThickSpace;<font color="#686868">User:</font> Espeon&nbsp;|&ThickSpace;<font color="#686868">Required Move:</font> Psyshock&nbsp;|&ThickSpace;<font color="#686868">Target:</font> One Adjacent Pokémon</font>
14:54:50 |c|%EchoGaia|i love the names haha :)
14:55:02 |c|%EchoGaia|was pretty inspired for them
14:56:34 |l|@Zyg-Ten%
14:59:50 |c| malphasmarx|what's this?
15:00:12 |c|%EchoGaia|my custom region
15:01:23 |c| malphasmarx|is it playable?
15:03:40 |c|%EchoGaia|yes but you need to go through import/export thing for now
15:05:55 |c|%Flurbel|names are funny yeah
15:06:03 |c|%Flurbel|icy wind of the north
15:06:04 |c|%Flurbel|lol
15:06:11 |c|%EchoGaia|the FAR North
15:06:14 |c|%EchoGaia|:D
15:06:16 |c|%Flurbel|*far
15:07:57 |j|%flufi
15:07:57 |c|*BatterBotto|!dt fluffy
15:08:02 |c|%Flurbel|hey flufi
15:08:04 |c|%flufi|Hoi
15:08:10 |c|%flufi|You were demoted?
15:08:28 |c|%Flurbel|oh yeah
15:08:32 |c|%Flurbel|now you mention it
15:08:33 |l|%EchoGaia
15:08:34 |c|%Flurbel|i did
15:08:36 |j|%EchoGaia
15:08:38 |c|%Flurbel|didnt know
15:08:40 |c|%Flurbel|huh
15:08:41 |c|%EchoGaia|yep he did
15:08:42 |c| charizard8888|Erm nope
15:08:46 |c|%EchoGaia|was probs temp
15:08:48 |c| charizard8888|//rank Flurbel
15:08:55 |c| charizard8888|//user Flurbel *
15:11:28 |j| Megatrainer17
15:11:33 |c| Spandan|wat
15:11:38 |c| Spandan|you shouldn t be demoted
15:11:48 |c|%Flurbel|lol
15:11:50 |c|%Flurbel|rip
15:11:50 |c| Spandan|//modlog
15:11:58 |c| Spandan|theres no sign of your demotion
15:12:01 |c| Spandan|means one thing
15:12:02 |c|%Flurbel|yeah
15:12:05 |c| Spandan|GLITCH
15:12:09 |c|%Flurbel|did not notice it
15:12:11 |c| Spandan|im gonna look into it
15:12:17 |l| Megatrainer17
15:12:18 |c|%Flurbel|dh being drunk again
15:13:00 |c| charizard8888|/log Flurbel was promoted to Room Moderator by charizard8888.
15:13:00 |n|@Flurbel|flurbel
15:13:05 |c|@Flurbel|hue
15:13:05 |c|*OutrageousBoT|hue
15:13:07 |c|@Flurbel|thnx
15:13:12 |c|%flufi|lol
15:16:50 |c|@Flurbel|-tour
15:16:52 |c|*BatterBotto|Error: the tournament did not start, probably because I do not have permission to create tournaments or commands were changed.
15:16:59 |c|@Flurbel|i see
15:17:02 |c|@Flurbel|hmm
15:17:56 |c|%EchoGaia|!dt Jirachi's Eternal Wishes, Jillian
15:17:56 |raw|<ul class="utilichart"><li class="result"><a data-entry="move|Jirachi's Eternal Wishes"><span class="col movenamecol">Jirachi's Eternal Wishes</span> <span class="col typecol"><img src="//play.pokemonshowdown.com/sprites/types/Steel.png" alt="Steel" width="32" height="14"><img src="//play.pokemonshowdown.com/sprites/categories/Status.png" alt="Status" width="32" height="14"></span> <span class="col widelabelcol"><em>Accuracy</em><br>—</span> <span class="col pplabelcol"><em>PP</em><br>1</span> <span class="col movedesccol">User faints, fully heals next, setup Safeguard and screens</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Priority:</font> 0&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 0&nbsp;|&ThickSpace;&#10003; Z-Move&nbsp;|&ThickSpace;<font color="#686868">Z-Crystal:</font> Jirachium Z&nbsp;|&ThickSpace;<font color="#686868">User:</font> Jirachi&nbsp;|&ThickSpace;<font color="#686868">Required Move:</font> Doom Desire&nbsp;|&ThickSpace;<font color="#686868">Target:</font> User</font>
15:18:12 |c|@Flurbel|does it work now?
15:18:15 |c|%EchoGaia|nope
15:18:22 |c|%EchoGaia|it makes battle crash :(
15:18:25 |raw|<div class='chat'><small>@</small><button name='parseCommand' value='/user Flurbel' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#4A7826'>Flurbel:</font></b></button><em class='mine'>feelsbdman</em></div>
15:20:37 |c| Spandan|feels
15:20:41 |c| Spandan|feelsnenen
15:20:42 |raw|<div class='chat'><small>@</small><button name='parseCommand' value='/user Flurbel' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#4A7826'>Flurbel:</font></b></button><em class='mine'><img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/feelsdd.png" title="feelsdd" width="50" height="50" /></em></div>
15:20:45 |c| Spandan|ok
15:24:49 |userstats|total:9|guests:0| :2|+:0|$:0|%:3|@:1|*:2|★:0|#:0|&:0|~:1|⚔:0
15:26:56 |l| Spandan
15:27:43 |j| Sam Kasiano
15:28:14 |j| Spandan
15:28:55 |l| Sam Kasiano
15:31:24 |l| charizard8888
15:32:21 |c|%EchoGaia|hey flufi
15:32:25 |c|%flufi|Hi
15:32:43 |c|%EchoGaia|i'm mad cause Jirachi's z move doesn't work and dunno how to make it work
15:32:55 |c|%flufi|rip
15:32:57 |c|%flufi|ask spandan
15:33:00 |raw|<div class='chat'><small>%</small><button name='parseCommand' value='/user flufi' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#27A58A'>flufi:</font></b></button><em class='mine'>to code it for you <img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/feelsgd.png" title="feelsgd" width="50" height="50" /></em></div>
15:33:14 |c| Spandan|Yes, I am a jobless fuck
15:33:20 |c| Spandan|with no work at all
15:33:26 |c|%flufi|Thanks for noticing
15:33:27 |c|%flufi|/me flees
15:33:27 |c|*OutrageousBoT|/me used Mean Look on %flufi
15:34:54 |c|%EchoGaia|it's not that what i want to say, i just need some help :(
15:35:17 |c|@Flurbel|i want to help
15:35:19 |c|@Flurbel|but cant
15:35:23 |c|@Flurbel|so srry
15:35:54 |c| Spandan|-hi echogaia
15:35:54 |c|*BatterBotto|hi echogaia
15:35:55 |c|*BatterBotto|how are you doin echogaia
15:35:55 |c|*BatterBotto|you better be doing good echogaia
15:35:55 |c|*BatterBotto|test filler 1 echogaiaechogaiaechogaiaechogaiaechogaia
15:35:56 |c|*BatterBotto|#filler 2 echogaia
15:35:56 |c|*BatterBotto|#filler 3 echogaia
15:36:04 |c|@Flurbel|uhm
15:37:38 |c|@Flurbel|ಠ_ಠ
15:37:55 |c|%EchoGaia|i'm good
15:38:00 |c|%EchoGaia|:D
15:38:36 |c|%flufi|-hi Flurbel
15:38:36 |c|*BatterBotto|hi Flurbel
15:38:37 |c|*BatterBotto|how are you doin Flurbel
15:38:37 |c|*BatterBotto|you better be doing good Flurbel
15:38:37 |c|*BatterBotto|test filler 1 FlurbelFlurbelFlurbelFlurbelFlurbel
15:38:38 |c|*BatterBotto|#filler 2 Flurbel
15:38:38 |c|*BatterBotto|#filler 3 Flurbel
15:38:55 |c|%EchoGaia|>bot is going crazy
15:38:57 |c|@Flurbel|ಠ_ಠ
15:39:00 |c|%flufi|kek
15:39:02 |c|@Flurbel|ಠ_ಠ
15:39:02 |c|@Flurbel|ಠ_ಠ
15:41:35 |c|%EchoGaia|!dt Jirachi's Eternal Wishes, Jillian
15:41:35 |raw|<ul class="utilichart"><li class="result"><a data-entry="move|Jirachi's Eternal Wishes"><span class="col movenamecol">Jirachi's Eternal Wishes</span> <span class="col typecol"><img src="//play.pokemonshowdown.com/sprites/types/Steel.png" alt="Steel" width="32" height="14"><img src="//play.pokemonshowdown.com/sprites/categories/Status.png" alt="Status" width="32" height="14"></span> <span class="col widelabelcol"><em>Accuracy</em><br>—</span> <span class="col pplabelcol"><em>PP</em><br>1</span> <span class="col movedesccol">User faints, fully heals next, setup Safeguard and screens</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Priority:</font> 0&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 0&nbsp;|&ThickSpace;&#10003; Z-Move&nbsp;|&ThickSpace;<font color="#686868">Z-Crystal:</font> Jirachium Z&nbsp;|&ThickSpace;<font color="#686868">User:</font> Jirachi&nbsp;|&ThickSpace;<font color="#686868">Required Move:</font> Doom Desire&nbsp;|&ThickSpace;<font color="#686868">Target:</font> User</font>
15:41:41 |l|@Flurbel
15:42:08 |j|@Flurbel
15:42:56 |j|+ggdaca
15:43:06 |c|+ggdaca|yo~
15:43:57 |c|%EchoGaia|yo
15:44:05 |c|%flufi|yo
15:44:15 |c|%EchoGaia|!dt Warth of the HUndred Year Old Trees, Jillian
15:44:15 |raw|<ul class="utilichart"><li class="result"><a data-entry="move|Meditation of Nature"><span class="col movenamecol">Meditation of Nature</span> <span class="col typecol"><img src="//play.pokemonshowdown.com/sprites/types/undefined.png" alt="undefined" width="32" height="14"><img src="//play.pokemonshowdown.com/sprites/categories/undefined.png" alt="undefined" width="32" height="14"></span> <span class="col widelabelcol"><em>Accuracy</em><br>—</span> <span class="col pplabelcol"><em>PP</em><br>1</span> <span class="col movedesccol">undefined</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Priority:</font> 0&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 0&nbsp;|&ThickSpace;&#10003; Bypasses Protect&nbsp;|&ThickSpace;<font color="#686868">Z-Effect:</font> None&nbsp;|&ThickSpace;<font color="#686868">Target:</font> Unknown</font>
15:45:31 |c|@Flurbel|yo
15:46:27 |raw|<div class="broadcast-red"><b>The server is restarting soon.</b><br />Please finish your battles quickly. No new battles can be started until the server resets in a few minutes.</div>
15:46:31 NEW CHATROOM: lobby
15:46:37 |j| Spandan
15:46:39 |j|%EchoGaia
15:46:43 |j|*BatterBotto
15:46:48 |c| Spandan|I'm Spndank
15:46:56 |c|%EchoGaia|!dt Warth of the Hundred Year Old Trees, Jillian
15:46:56 |raw|<ul class="utilichart"><li class="result"><a data-entry="move|Warth of The Hundred-Year-Old Trees"><span class="col movenamecol">Warth of The Hundred-Year-Old Trees</span> <span class="col typecol"><img src="//play.pokemonshowdown.com/sprites/types/Grass.png" alt="Grass" width="32" height="14"><img src="//play.pokemonshowdown.com/sprites/categories/Special.png" alt="Special" width="32" height="14"></span> <span class="col labelcol"><em>Power</em><br>180</span> <span class="col widelabelcol"><em>Accuracy</em><br>—</span> <span class="col pplabelcol"><em>PP</em><br>1</span> <span class="col movedesccol">50% chance to randomly status a foe</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Priority:</font> 0&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 0&nbsp;|&ThickSpace;&#10003; Secondary effect&nbsp;|&ThickSpace;&#10003; Bypasses Protect&nbsp;|&ThickSpace;&#10003; Z-Move&nbsp;|&ThickSpace;<font color="#686868">Z-Crystal:</font> Leafeonium Z&nbsp;|&ThickSpace;<font color="#686868">User:</font> Leafeon&nbsp;|&ThickSpace;<font color="#686868">Required Move:</font> Leaf Blade&nbsp;|&ThickSpace;<font color="#686868">Target:</font> One Adjacent Pokémon</font>
15:47:04 |c|%EchoGaia|ok
15:47:04 |j|+UncleFlacco
15:47:04 |c|*BatterBotto|The Shuckle God arrives
15:47:07 |c|%EchoGaia|this one works
15:47:15 |j|@Flurbel
15:47:22 |c|+UncleFlacco|what's that a z move for?
15:47:27 |c|%EchoGaia|Jillian
15:47:33 |j|*OutrageousBoT
15:47:33 |c|*BatterBotto|Hi OutrageousBoT!
15:47:45 |c|+UncleFlacco|leafeon's leaf blade
15:47:49 |c|+UncleFlacco|woah that's
15:48:01 |c|+UncleFlacco|a physical move turned into a special move?
15:48:03 |c|*OutrageousBoT|RAWR! *BatterBotto
15:48:05 |c|%EchoGaia|yep
15:48:09 |j|+ggdaca
15:48:30 |c| Spandan|ggdaca more like
15:48:32 |c| Spandan|bgdaca
15:48:35 |c|+ggdaca|wrath of a 100 year old trees?
15:48:48 |c|+ggdaca|Spandan, thats old
15:48:54 |c|+ggdaca|Spandan more like, crashes
15:49:04 |j|$Ludicrousity
15:49:04 |c| Spandan|Brace for the Crash!
15:49:04 |html|<div class="infobox"><center><div class="broadcast-red"><b>The server has crashed!</b><br />Please wait for an administrator to fix it.</div></center></div>
15:49:12 |c|$Ludicrousity|k
15:49:13 |c|+UncleFlacco|100 isn't old for trees really
15:49:22 |c|+ggdaca|^
15:49:33 |c|$Ludicrousity|^
15:49:52 |c|%EchoGaia|flurbel
15:49:57 |c|@Flurbel|yes
15:50:22 |c|@Flurbel|hey ludi
15:51:11 |c|+UncleFlacco|woah where'd everybody come from?
15:51:18 |c|$Ludicrousity|I came from space
15:51:41 |c|@Flurbel|my mom
15:51:57 |c|$Ludicrousity|So basic, but so correct ^
15:52:12 |c|@Flurbel|would be weird if id say your mom
15:52:16 |c|@Flurbel|but also true
15:52:21 |c|@Flurbel|:-0
15:54:37 |c|@Flurbel|!dt rayquazium z, jillian
15:54:37 No Pokémon, item, move, ability or nature named 'rayquazium z' was found. Showing the data of 'Rayquazanium Z' instead.
|raw|<ul class="utilichart"><li class="result"><a data-entry="item|Rayquazanium Z"><span class="col itemiconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/itemicons-sheet.png) no-repeat scroll -0px -960px"></span></span> <span class="col namecol">Rayquazanium Z</span> <span class="col itemdesccol">If holder is a Rayquaza with Dragon Ascent, it can use Ultimate Power of The Skies.</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Gen:</font> 7&nbsp;|&ThickSpace;<font color="#686868">Fling:</font> This item cannot be used with Fling.</font>
15:55:13 |c| Spandan|!dt ransiumz, dhssb
15:55:13 |raw|<ul class="utilichart"><li class="result"><a data-entry="item|Ransium Z"><span class="col itemiconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/itemicons-sheet.png) no-repeat scroll -NaNpx -NaNpx"></span></span> <span class="col namecol">Ransium Z</span> <span class="col itemdesccol">If holder is Ransei it can use Z-Ransei</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Gen:</font> 3&nbsp;|&ThickSpace;<font color="#686868">Fling:</font> This item cannot be used with Fling.</font>
15:55:49 |c|@Flurbel|damn
15:56:17 |c|+ggdaca|ranssiumz
15:56:18 |c|+ggdaca|kek
15:56:57 |c|+UncleFlacco|I don't think you realize how broken UPotS is
15:57:20 |c|@Flurbel|upots?
15:58:02 |c|+UncleFlacco|your z-dragon ascend
15:58:07 |c|+UncleFlacco|or whoever's
15:58:07 |c|@Flurbel|oh yeah
15:58:13 |c|@Flurbel|more than ag
15:58:21 |c|@Flurbel|its better than mega ray
